0,1,2,3,4,5,6,7,8,9,10,11,table_id,table_page
23,-,"31-10-
2022",Lublin,"01-11-
2022","czas 
nieokreślo
ny","Corner House 
Sp. z o.o. 
Platforma 
Obywatelska RP","Tomasz 
Kalinowski 
  Jan Grabiec","aneks do 
umowy najmu 
lokalu z dnia 
13.09.2022 r.","7760,07 
miesięcznie
+opłaty za 
media",negocjacje,-,6,6
24,-,"02-11-
2022",Lublin,"01-11-
2022","czas 
nieokreślo
ny","Stanisław 
Nowicki 
 
 
Platforma 
Obywatelska RP","Stanisław 
Nowicki 
 
 
Jan Grabiec","n
ajem lokalu","1000,00 
miesięcznie
+opłaty za 
media",negocjacje,-,6,6
25,"12/11/202
2","03-11-
2022","Sandomie
rz","05-11-
2022","05-11-
2022","Gmina 
Sandomierz 
 
Platforma 
Obywatelska RP","Mieczysław 
Dygas 
 
 
 
Marcin 
Kierwiński",najem sali,"1500,00",negocjacje,-,7,7
26,-,"07-11-
2022",Piaseczno,"08-11-
2022","08-11-
2022","Gmina 
Piaseczno 
 
Platforma 
Obywatelska RP","Wioletta 
Grochowicz 
  Jan Grabiec",najem hali,"885,60",negocjacje,-,7,7
27,-,"08-11-
2022",Piaseczno,"08-11-
2022","08-11-
2022","Biblioteka 
Publiczna 
 
Platforma 
Obywatelska RP","Łukasz 
Krzysztof 
Załęski  
 
Jan Grabiec",najem sali,"750,00",negocjacje,-,7,7
28,22/2022,"08-11-
2022",Płock,"09-11-
2022","09-11-
2022","Teatr 
Dramatyczny im. 
Jerzego 
Szaniawskiego 
 
 
Platforma 
Obywatelska RP","Zygmunt 
Marek 
Mokrowiecki, 
Zdzisława 
Sieczkowska 
 
 
Jan Grabiec",najem sali,"8364,00",negocjacje,-,7,7
29,"13/2211/2
022","08-11-
2022","Sępólno 
Krajeński
e","10-11-
2022","10-11-
2022","Gmina Sępólno 
Krajeńskie 
Platforma 
Obywatelska RP","Marek Chart 
Jan Grabiec",najem hali,"3000,00",negocjacje,-,8,8
30,221141922,"10-11-
2022",Warszawa,"11-11-
2022","11-11-
2022","TVN Media Sp. 
z o.o.  
 
Platforma 
Obywatelska RP","Monika 
Granecka,  
Hubert 
Niewiarowski 
  
 
  Jan Grabiec",emisja spotu,"81990,62",negocjacje,-,8,8
31,"663091/22
/K1/KK","10-11-
2022",Warszawa,"11-11-
2022","11-11-
2022","Polsat Media  
 
Platforma 
Obywatelska RP","Weronika 
Ojenik,  
Katarzyna 
Tomczuk 
 Jan Grabiec",emisja spotu,"63924,13",negocjacje,-,8,8
32,-,"15-11-
2022",Warszawa,"15-11-
2022","Czas 
nieokreślo
ny","Stowarzyszenie 
Komitet Obrony 
Demokracji 
Platforma 
Obywatelska RP","Kinga 
Łozińska-
Czaja, 
Jacek 
Wiśniewski 
Jan Grabiec",licencja,"2900,00",negocjacje,-,8,8
33,-,"15-11-
2022",Warszawa,"09-12-
2022","11-12-
2022","Satoria Group 
S.A. 
Platforma 
Obywatelska RP","Michał 
Świgost 
  Jan Grabiec","organizacja 
pobytu grupy","61000,00",negocjacje,-,9,9
34,"0021/11/P
K/2022","18-11-
2022",Łódź,"21-11-
2022","21-11-
2022","Expo-Łódź Sp.  
z o.o. 
Platforma 
Obywatelska RP","Anna 
Adamska-
Makowska, 
Barbara Klatka 
 
 Jan Grabiec","najem sali 
konferencyjne
j","615,00",negocjacje,-,9,9
35,"23/11/202
2","23-11-
2022",Warszawa,"10-12-
2022","10-12-
2022","Fundacja Szkoła 
Liderów 
Platforma 
Obywatelska RP","Przemysław 
Radwan-
Rohrenschef 
 
Jan Grabiec","usługa 
szkoleniowa","5535,00",negocjacje,-,9,9
36,"16423707-
01","28-11-
2022",Warszawa,"01-12-
2022","24 
miesiące","CANAL+ 
Polska S.A. 
Platforma 
Obywatelska RP","Krzysztof 
Jarząbek 
 
   Jan Grabiec","pakiet usług 
telewizyjnych","85,00 
miesięcznie",negocjacje,-,9,9
37,-,"29-11-
2022",Warszawa,"05-12-
2022","07-12-
2022","Mantle Poland 
sp. z o.o. 
Platforma 
Obywatelska RP","Urszula 
Krassowska 
 Jan Grabiec","ekspertyza 
społeczno-
polityczna","30750,00",negocjacje,-,10,10
38,-,"30-11-
2022",Kutno,"01-12-
2022","30-11-
2023","Miasto Kutno  
Platforma 
Obywatelska RP","Marian 
Sierpiński  
  Jan Grabiec",najem lokalu,"85,42 
miesięcznie
+opłaty za 
media",negocjacje,-,10,10
39,-,"30-11-
2022",Warszawa,"01-12-
2022","28-02-
2023","Yes We Can Sp 
z o.o. 
Platforma 
Obywatelska RP","Rafał 
Bojanowski  
 
Jan Grabiec","monitoring 
internetu","8610,00 
miesięcznie",negocjacje,-,10,10
40,-,"01-12-
2022",Warszawa,"05-12-
2022","07-12-
2022","IPSOS  Sp. o.o.  
Platforma 
Obywatelska RP","Anna 
Karczmarczuk  
 Jan Grabiec","ekspertyza 
społeczno-
polityczna","30135,00",negocjacje,-,10,10
41,"S400/WI/5
7/2022/N","05-12-
2022",Warszawa,"09-12-
2022","11-12-
2022","Miasto Stołeczne 
Warszawa 
Platforma 
Obywatelska RP","Ewa Kubacka  
Jan Grabiec","najem hali 
sportowej, sal 
lekcyjnych 
oraz stołówki","11808,00",negocjacje,-,11,11
42,-,"09-12-
2022",Warszawa,"10-12-
2022","10-12-
2022","Sly Ptotection 
Sp.zo.o. 
 
Platforma 
Obywatelska RP","Sylwester 
Wyrwas, 
Tomasz 
Chwiałkowski  
 Jan Grabiec","ochrona 
podczas 
zabezpieczeni
a konferencji","1230,00",negocjacje,-,11,11
43,"CPK.N.14
1.2022","09-12-
2022",Warszawa,"14-12-
2022","14-12-
2022","Centrum 
Promocji 
Kultury w 
Dzielnicy Praga- 
Południe m.st. 
Warszawy 
 
Platforma 
Obywatelska RP","Mirosław 
Salach  
 
   Jan Grabiec",wynajem sali,"172,20",negocjacje,-,11,11
44,478148002,"09-12-
2022",Warszawa,"09-12-
2022","Czas 
nieokreślo
ny","mBank S.A. 
Platforma 
Obywatelska RP","Ewa 
Wesołowska 
Joanna 
Ryszkowska 
 
Marcin 
Kierwiński","umowa 
rachunku 
bankowego","210,00 
miesięcznie",negocjacje,-,11,11
45,1/2022,"12-12-
2022",Warszawa,"12-12-
2022","12-12-
2022","Żoliborskie Dom 
Kultury w 
Dzielnicy 
Żoliborz m.st. 
Warszawy 
Platforma 
Obywatelska RP","Iwona 
Mirosław- 
Dolecka 
 
Marcin 
Kierwiński","wynajem 
obiektu Fort 
Sokolnickiego","2100,00",negocjacje,-,12,12
46,"345/ZW/E
L/2022","14-12-
2022","Bydgoszc
z","19-12-
2022","19-12-
2022","Miasto 
Bydgoszcz 
Platforma 
Obywatelska RP","Adam Soroka  
 
Jan Grabiec","wynajem sali 
konferencyjne
j","984,00",negocjacje,-,12,12
47,-,"14-12-
2022",Warszawa,"16-12-
2022","16-12-
2022","Wyższa Szkoła 
Prawa i 
Administracji 
Rzeszowska 
Szkoła Wyższa  
Platforma 
Obywatelska RP","Jerzy 
Posłuszny  
 
Jan Grabiec","współpraca 
przy 
organizacji 
seminarium","3000,00",negocjacje,-,12,12
48,"02/267/ 
22/Z/OB","15-12-
2022",Warszawa,"15-12-
2022","06-02-
2026","mBank S.A. 
Platforma 
Obywatelska RP","Ewa 
Wesołowska 
Bartosz 
Byczewski 
 
Donald Tusk 
Jan Grabiec","kredyt 
obrotowy","10000000,00",negocjacje,-,12,12
49,-,"15-12-
2022",Katowice,"18-12-
2022","18-12-
2022","Biblioteka 
Śląska w 
Katowicach  
Platforma 
Obywatelska RP","Agnieszka 
Magiera 
 
  Jan Grabiec",wynajem sali,"1380,00",negocjacje,-,13,13
50,"267/2022/
TA","20-12-
2022",Gdańsk,"16-01-
2023","16-01-
2023","Muzeum 
Gdańska 
 
Platforma 
Obywatelska RP","Waldemar 
Ossowski 
Jan Grabiec",wynajem sal,"4627,99",negocjacje,-,13,13
51,"326/2022/
Uż","30-12-
2022",Warszawa,"01-01-
2023","01-01-
2024","Miasto Stołeczne 
Warszawa 
 
 
Platforma 
Obywatelska RP","Agata     
Kapłon 
 
  Jan Grabiec",najem lokalu,"357,36 
miesięcznie 
+ opłaty za 
media",negocjacje,-,13,13
52,-,"30-12-
2022",Warszawa,"01-01-
2023","31-12-
2023","Softar Krzysztof 
Kościński 
 
Platforma 
Obywatelska RP","Krzysztof 
Kościński 
 
   
Jan Grabiec","usługi 
informatyczne","5000,00 
miesięcznie",negocjacje,-,13,13
53,-,"01-01-
2023","Przewors
k","01-01-
2023","Czas 
nieokreślo
ny","Spółdzielnia 
Rzemieślnicza 
„Usług 
Różnych” 
 
 
Platforma 
Obywatelska RP","Jan Ciąpała 
Jan Żyga 
 
   
Jan Grabiec",najem lokalu,"357,00 
miesięcznie
+ opłaty za 
media",negocjacje,-,14,14
54,-,"02-01-
2023",Warszawa,"02-01-
2023","31-01-
2023","Mateusz 
Gruszka 
 
 
Platforma 
Obywatelska RP","Mateusz 
Gruszka 
Jan Grabiec","wykonanie 
serwisu 
internetowego","4000,00",negocjacje,-,14,14
55,-,"09-01-
2023",Warszawa,"09-01-
2023","18-01-
2023","AppWorks 
Software House 
Sp.zo.o. 
Platforma 
Obywatelska RP","Tomasz 
Stankiewicz 
Jan Grabiec","wykonanie 
serwisu 
internetowego","4920,00",negocjacje,-,14,14
56,"DP/02/202
3/N","09-01-
2023",Warszawa,"11-01-
2023","11-01-
2023","Ursynowskie 
Centrum Kultury 
„Alternatywy” 
 
 
Platforma 
Obywatelska RP","Krzysztof 
Czubaszek 
 
   
Jan Grabiec",najem sali,"1600,00",negocjacje,-,14,14
57,-,"10-01-
2023",Warszawa,"11-01-
2023","13-01-
2023","Mantle Poland 
sp. z o.o. 
Platforma 
Obywatelska RP","Urszula 
Krassowska 
 Jan Grabiec","ekspertyza 
społeczno-
polityczna","29520,00",negocjacje,-,15,15
58,-,"10-01-
2023",Warszawa,"10-01-
2023","12-01-
2023","IPSOS Sp. o.o.  
Platforma 
Obywatelska RP","Anna 
Karczmarczuk  
 Jan Grabiec","ekspertyza 
społeczno-
polityczna","33825,00",negocjacje,-,15,15
59,14/2023,"11-01-
2023",Gdańsk,"13-01-
2023","13-01-
2023","Nadbałtyckie 
Centrum Kultury 
w Gdańsku 
Platforma 
Obywatelska RP","Lawrence 
Ugwu  
  
 
Jan Grabiec","wynajem sali 
wraz ze 
sprzętem 
technicznym","2460,00",negocjacje,-,15,15
60,-,"16-01-
2023",Elbląg,"01-01-
2023","31-12-
2023","Gmina Miasto 
Elbląg Zarząd 
Budynków 
Komunalnych  
Platforma 
Obywatelska RP","Dorota 
Urbanowicz  
  
 
Jan Grabiec",najem lokalu,"707,52",negocjacje,-,15,15
61,-,"16-01-
2023",Elbląg,"01-01-
2023","31-12-
2023","Gmina Miasto 
Elbląg Zarząd 
Budynków 
Komunalnych  
 
Platforma 
Obywatelska RP","Dorota 
Urbanowicz 
  
 
 
Jan Grabiec","najem 
pomieszczeni
a","38,90",negocjacje,-,16,16
62,-,"17-01-
2023",Warszawa,"18-01-
2023","19-01-
2023","Opinia24  
 
 
Platforma 
Obywatelska RP","Przemysław 
Wójtowicz 
  
Jan Grabiec","ekspertyza 
społeczno-
polityczna","9840,00",negocjacje,-,16,16
63,"4/DAK/20
23","18-01-
2023",Warszawa,"23-01-
2023","23-01-
2023","Centrum Kultury 
Browar B. 
 
Platforma 
Obywatelska RP","Lidia 
Lichocka- 
Witczak 
  
Jan Grabiec",wynajem sali,"615,00",negocjacje,-,16,16
64,-,"19-01-
2023",Lublin,"20-01-
2023","20-01-
2023","CRH 
AKADEMOS 
Sp.zo.o. 
 
Platforma 
Obywatelska RP","Anita Kisiel 
  
Jan Grabiec","najem hali 
sportowej z 
nagłośnienie
m","4797,00",negocjacje,-,16,16
65,"15/01/202
3","23-01-
2023",Siedlce,"24-01-
2023","24-01-
2023","Miejski Ośrodek 
Kultury w 
Siedlcach 
 
Platforma 
Obywatelska RP","Mariusz 
Woszczyński 
  
 
Jan Grabiec",wynajem sali,"2718,30",negocjacje,-,17,17
66,"CPK.N.13.
2023/TKG","31-01-
2023",Warszawa,"04-02-
2023","04-02-
2023","Centrum 
Promocji 
Kultury w 
Dzielnicy Praga- 
Południe m.st. 
Warszawy 
 
Platforma 
Obywatelska RP","Mirosław 
Salach  
 
 
 
   Jan Grabiec",wynajem sali,"1230,00",negocjacje,-,17,17
67,35/Oz/23,"01-02-
2023",Warszawa,"26-02-
2023","26-02-
2026","Miasto Stołeczne 
Warszawa 
 
 
Platforma 
Obywatelska RP","Beata Bogaj 
Jan Grabiec",najem lokalu,"7288,67 
miesięcznie
+ opłaty za 
media",negocjacje,-,17,17
68,10/I/2023,"01-02-
2023",Olsztyn,"01-02-
2023","30-09-
2023","Województwo 
Warmińsko-
Mazurskie- 
Szkoła 
Policealna im. 
prof. Zbigniewa 
Religi 
Platforma 
Obywatelska RP","Jolanta 
Kłoczewska 
 
   
Jan Grabiec",najem sali,"86,10 za  
godzinę 
wynajmu",negocjacje,-,17,17
69,-,"03-02-
2023",Kutno,"27-02-
2023","27-02-
2023","Kutnowski Dom 
Kultury 
Platforma 
Obywatelska RP","Radosław 
Rojewski 
Jan Grabiec","w
ynajem sali","750,00",negocjacje,-,18,18
70,"0/5274/20
22/30/0","09-02-
2023",Warszawa,"09-02-
2023","Czas 
nieokreślo
ny","PGE Obrót S.A. 
 
Platforma 
Obywatelska RP","Monika 
Barczewska 
Katarzyna 
Sadowska","sprzedaż 
energii 
elektrycznej, 
świadczenie 
usług 
dystrybucji",-,negocjacje,-,18,18
71,-,"10-02-
2023",Warszawa,"10-02-
2023",-,"Yes We Can Sp. 
z o.o. 
 
Platforma 
Obywatelska RP","Rafał 
Bojanowski 
 Jan Grabiec","realizacja 
filmu","23370,00",negocjacje,-,18,18
72,"8/MDK/20
23/221","13-02-
2023",Konin,"10-03-
2023","10-03-
2023","Młodzieżowy 
Dom Kultury 
 
Platforma 
Obywatelska RP","Lucyna 
Lenard-
Woźniak 
 
 Jan Grabiec",najem sali,"680,00",negocjacje,-,18,18
73,-,"14-02-
2023",Warszawa,"14-02-
2023",-,"Yes We Can Sp. 
z o.o. 
 
 
Platforma 
Obywatelska RP","Rafał 
Bojanowski 
 Jan Grabiec",grafiki,"2460,00",negocjacje,-,18,18
74,-,"15-02-
2023",Warszawa,"15-02-
2023","31-03-
2023","AppWorks 
Software House 
Sp.zo.o. 
Platforma 
Obywatelska RP","Tomasz 
Stankiewicz 
Jan Grabiec","wykonanie 
serwisu 
internetowego 
wraz z 
aktualizacjam
i","3690,00",negocjacje,-,19,19
75,"18/02/202
3","20-02-
2023",Łask,"27-02-
2023","27-02-
2023","Łaski Dom 
Kultury 
 
Platforma 
Obywatelska RP","Magdalena 
Kelnerowska 
 Jan Grabiec",najem sali,"300,00",negocjacje,-,19,19
76,127377068,"21-02-
2023",Warszawa,"21-02-
2023","21-02-
2025","T-Mobile Polska 
S.A. 
 
 
Platforma 
Obywatelska RP","Agnieszka 
Mironowicz 
Karol 
Zbrzeźniak","usługi 
telekomunika
cyjne","49,20 
miesięcznie",negocjacje,-,19,19
77,127377241,"21-02-
2023",Warszawa,"21-02-
2023","21-02-
2025","T-Mobile Polska 
S.A. 
 
 
Platforma 
Obywatelska RP","Agnieszka 
Mironowicz 
Karol 
Zbrzeźniak","usługi 
telekomunika
cyjne","43,05 
miesięcznie",negocjacje,-,19,19
78,-,"22-02-
2023",Warszawa,"22-02-
2023","27-02-
2023","AppWorks 
Software House 
Sp.zo.o. 
Platforma 
Obywatelska RP","Tomasz 
Stankiewicz 
Jan Grabiec","wykonanie 
serwisu 
internetowego","5227,50",negocjacje,-,19,19
79,-,"23-02-
2023",Pabianice,"27-02-
2023","27-02-
2023","Miasto Pabianice 
 
Platforma 
Obywatelska RP","Piotr Adamski 
Jan Grabiec",najem hali,"1079,99",negocjacje,-,20,20
80,-,"24-02-
2023","Bełcható
w","27-02-
2023","27-02-
2023","Miejskie 
Centrum Kultury 
 
 
Platforma 
Obywatelska RP","Jakub 
Kołodziejczyk 
Jan Grabiec",najem sali,"295,20",negocjacje,-,20,20
81,3/2023,"24-02-
2023","Radomsk
o","27-02-
2023","27-02-
2023","Miejska 
Biblioteka 
Publiczna 
 
 
Platforma 
Obywatelska RP","Anita Janczak 
Jan Grabiec",najem sali,"246,00",negocjacje,-,20,20
82,-,"27-02-
2023",Warszawa,"27-02-
2023","13-03-
2023","AppWorks 
Softare House 
sp.zo.o. 
Platforma 
Obywatelska RP","Tomasz 
Stankiewicz 
 
Jan Grabiec","wykonanie 
serwisu 
internetowego","14760,00",negocjacje,-,20,20
83,-,"27-02-
2023","Działoszy
n","27-02-
2023","27-02-
2023","RCRK i T 
 
Platforma 
Obywatelska RP","Renata Błasiak 
Jan Grabiec",najem sali,"70,00",negocjacje,-,20,20
84,-,"27-02-
2023",Warszawa,"27-02-
2023","10-04-
2023","Warsaw 
Memetica 
Franciszek 
Bielowicki 
 
 
Platforma 
Obywatelska RP","Franciszek 
Bielowicki 
Jan Grabiec","zaprojektowa
nie 
kwestionarius
za 
zasilającego 
bazę danych","19188,00",negocjacje,-,21,21
85,"UN/024/20
23","01-03-
2023",Warszawa,"01-03-
2023","Czas 
nieokreślo
ny","INFOROFFICE 
Sp.zo.o. Sp.K 
 
Platforma 
Obywatelska RP","Stanisław 
Szczypka 
Jan Grabiec","najem sprzętu 
biurowego","315,00 
miesięcznie",negocjacje,-,21,21
86,"Aneks do 
umowy na 
monitoring 
internetu z 
dnia 
30.11.2022 
r.","01-03-
2023",Warszawa,"01-03-
2023","31-05-
2023","YES WE CAN 
sp. zo.o. 
 
 
Platforma 
Obywatelska RP","Rafał 
Bojanowski 
Jan Grabiec","zmiana 
okresu 
trwania 
umowy",-,negocjacje,-,21,21
87,-,"01-03-
2023",Warszawa,"01-03-
2023","31-07-
2023","Grandson 
Productions 
sp.zo.o. 
Platforma 
Obywatelska RP","Maciej 
Łuczyński 
Jan Grabiec","realizacja 
utworów 
audiowizualn
ych","1845,00 za 
film",negocjacje,-,21,21
88,-,"06-03-
2023",Wolsztyn,"07-03-
2023","10-03-
2023","PRESSTU.PL 
 
Platforma 
Obywatelska RP","Marcin 
Kosicki 
Jan Grabiec","emisja 
reklamy","123,00",negocjacje,-,22,22
89,04/S/2023,"06-03-
2023","Rokietnic
a","10-03-
2023","10-03-
2023","Rokietnicki 
Ośrodek Sportu 
Sp.zo.o. 
 
 
Platforma 
Obywatelska RP","Jerzy 
Maciejewski 
Jan Grabiec",wynajem sali,"2706,00",negocjacje,-,22,22
90,1/2023,"07-03-
2023",Rawicz,"10-03-
2023","10-03-
2023","Muzeum Ziemi 
Rawickiej 
 
 
Platforma 
Obywatelska RP","Adriana Mira 
Jan Grabiec",wynajem sali,"300,00",negocjacje,-,22,22
91,"OR-
III.2501.12
.2023.R","08-03-
2023",Brzeg,"27-03-
2023","27-03-
2023","Gmina Brzeg 
 
 
Platforma 
Obywatelska RP","Katarzyna 
Szczepanik 
 
 
Jan Grabiec",wynajem sali,"246,00",negocjacje,-,22,22
92,1/2023,"09-03-
2023",Konin,"10-03-
2023","10-03-
2023","Miejski Zakład 
Gospodarki 
Odpadami 
Komunalnymi 
Sp.zo.o. 
Platforma 
Obywatelska RP","Henryk 
Drzewiecki 
Jan Grabiec",wynajem sali,"250,00",negocjacje,-,22,22
93,"GCKSIR 
7151.01.03
.2023","10-03-
2023",Świlicza,"12-03-
2023","12-03-
2023","Gmina Świlicza 
 
 
Platforma 
Obywatelska RP","Adam 
Dziedzic 
 
 
Jan Grabiec",wynajem sali,"150,00",negocjacje,-,23,23
94,"193062/23
/D1/PW","13-03-
2023",Warszawa,"23-03-
2023","23-03-
2023","Polsat Media 
sp.zo.o. 
 
 
Platforma 
Obywatelska RP","Paulina 
Walczuk 
 
 
 
Jan Grabiec","emisja 
kampanii 
reklamowej 
na portalu 
Interia","26383,50",negocjacje,-,23,23
95,"AG-
212/4/23","13-03-
2023",Rybnik,"17-03-
2023","17-03-
2023","Powiatowa i 
Miejska 
Biblioteka 
Publiczna w 
Rybniku 
 
Platforma 
Obywatelska RP","Aleksandra 
Klich-
Siewiorek 
 
 
 
Jan Grabiec",wynajem sali,"500,00",negocjacje,-,23,23
96,"1/03/w/20
23","14-03-
2023",Warszawa,"15-03-
2023","15-03-
2023","Dom Kultury 
Rembertów 
 
Platforma 
Obywatelska RP","Robert 
Jasiński 
 
 
 
Jan Grabiec",wynajem sali,"200,00",negocjacje,-,23,23
97,-,"14-03-
2023",Żywiec,"19-03-
2023","19-03-
2023","Miejskie 
Centrum Kultury 
w Żywcu 
 
Platforma 
Obywatelska RP","Marek Regla, 
Mirosława 
Barcik 
 
 
 
Jan Grabiec",wynajem sali,"1476,00",negocjacje,-,23,23
98,-,"15-03-
2023",Bytom,"17-03-
2023","17-03-
2023","Gmina Bytom 
 
Platforma 
Obywatelska RP","Zbigniew 
Bryjak, 
Marzena 
Sokolik-
Ozorowska 
 
 
Jan Grabiec",wynajem sali,"4800,00",negocjacje,-,24,24
